АЗС	Банки	Бары и пабы	Поликлиники и больницы	Быстрое питание	Кафе и рестораны	Кинотеатры	Лесопарки и заповедники	Ночные клубы	Парикмахерские	Городские парки и скверы	Продуктовые магазины	Салоны красоты	Парикмахерские	Салоны красоты
0.124159611	0.150253597	0.098459069	0.171980599	0.116858499	0.10904983	0.118178415	0.105926961	0.089729851	0.128408233	0.108572083	0.124130226	0.131395583	0.898857631	0.919769083
0.138454844	0.159511384	0.114492713	0.173833949	0.129712591	0.126572234	0.12406411	0.101667145	0.100172713	0.132643284	0.10823533	0.132868425	0.13885025	0.92850299	0.971951748
0.142566109	0.155942826	0.125773912	0.167397747	0.133707895	0.134377504	0.129092115	0.100700565	0.107787368	0.135937093	0.108874319	0.135402186	0.141465985	0.951559652	0.990261897
0.149328367	0.158054521	0.134695851	0.163508551	0.137598107	0.1385488	0.139595858	0.099549772	0.120192564	0.139979278	0.11132609	0.138737467	0.143095623	0.979854943	1.001669358
0.165259	0.16264939	0.194612222	0.150937572	0.149589042	0.166219058	0.154335063	0.118365205	0.179225385	0.143267136	0.122291563	0.157037475	0.146390935	1.002869955	1.024736547
0.157315318	0.130174534	0.197562013	0.090034481	0.180041809	0.183236859	0.181793161	0.248126619	0.234839625	0.160478386	0.23130387	0.169627004	0.152727366	1.123348699	1.069091563
0.122916752	0.083413748	0.13440422	0.082307101	0.152492056	0.141995715	0.152941278	0.225663733	0.168052494	0.15928659	0.209396744	0.142197217	0.146074258	1.115006131	1.022519805
